???,255,255,255,255
R_V1_ROI,62,0,255,0
R_MST_ROI,50,112,128,0
R_V6_ROI,67,90,180,0
R_V2_ROI,27,56,234,0
R_V3_ROI,19,44,232,0
R_V4_ROI,17,47,220,0
R_V8_ROI,23,68,210,0
R_4_ROI,31,186,26,0
R_3b_ROI,40,197,24,0
R_FEF_ROI,137,155,150,0
R_PEF_ROI,157,182,167,0
R_55b_ROI,105,107,74,0
R_V3A_ROI,19,72,247,0
R_RSC_ROI,149,69,136,0
R_POS2_ROI,205,111,205,0
R_V7_ROI,28,96,192,0
R_IPS1_ROI,63,141,175,0
R_FFC_ROI,52,108,122,0
R_V3B_ROI,40,80,222,0
R_LO1_ROI,13,67,200,0
R_LO2_ROI,19,66,182,0
R_PIT_ROI,37,74,184,0
R_MT_ROI,31,99,108,0
R_A1_ROI,232,10,46,0
R_PSL_ROI,189,148,136,0
R_SFL_ROI,66,60,47,0
R_PCV_ROI,130,146,157,0
R_STV_ROI,139,115,106,0
R_7Pm_ROI,153,213,197,0
R_7m_ROI,47,48,53,0
R_POS1_ROI,83,83,118,0
R_23d_ROI,135,56,98,0
R_v23ab_ROI,26,11,25,0
R_d23ab_ROI,60,16,44,0
R_31pv_ROI,68,17,50,0
R_5m_ROI,43,177,49,0
R_5mv_ROI,139,165,129,0
R_23c_ROI,205,197,195,0
R_5L_ROI,64,163,67,0
R_24dd_ROI,69,167,48,0
R_24dv_ROI,112,161,66,0
R_7AL_ROI,113,187,122,0
R_SCEF_ROI,141,153,111,0
R_6ma_ROI,150,176,139,0
R_7Am_ROI,169,249,216,0
R_7PL_ROI,154,253,227,0
R_7PC_ROI,71,182,106,0
R_LIPv_ROI,61,129,171,0
R_VIP_ROI,54,137,147,0
R_MIP_ROI,126,210,197,0
R_1_ROI,28,199,44,0
R_2_ROI,51,185,69,0
R_3a_ROI,44,225,29,0
R_6d_ROI,31,165,41,0
R_6mp_ROI,67,163,47,0
R_6v_ROI,89,185,66,0
R_p24pr_ROI,152,148,120,0
R_33pr_ROI,117,96,97,0
R_a24pr_ROI,176,134,132,0
R_p32pr_ROI,176,149,134,0
R_a24_ROI,73,18,38,0
R_d32_ROI,109,46,65,0
R_8BM_ROI,130,82,92,0
R_p32_ROI,112,55,80,0
R_10r_ROI,26,4,8,0
R_47m_ROI,79,52,50,0
R_8Av_ROI,79,68,65,0
R_8Ad_ROI,55,62,44,0
R_9m_ROI,43,25,19,0
R_8BL_ROI,35,36,22,0
R_9p_ROI,62,53,49,0
R_10d_ROI,28,23,18,0
R_8C_ROI,119,89,94,0
R_44_ROI,137,102,94,0
R_45_ROI,91,66,57,0
R_47l_ROI,51,26,27,0
R_a47r_ROI,82,70,69,0
R_6r_ROI,191,215,163,0
R_IFJa_ROI,138,123,104,0
R_IFJp_ROI,130,156,136,0
R_IFSp_ROI,124,112,111,0
R_IFSa_ROI,212,214,196,0
R_p9-46v_ROI,149,143,137,0
R_46_ROI,193,213,191,0
R_a9-46v_ROI,177,134,155,0
R_9-46d_ROI,160,135,151,0
R_9a_ROI,64,55,55,0
R_10v_ROI,0,18,4,0
R_a10p_ROI,104,91,112,0
R_10pp_ROI,42,49,51,0
R_11l_ROI,106,98,108,0
R_13l_ROI,95,85,88,0
R_OFC_ROI,41,38,36,0
R_47s_ROI,65,37,38,0
R_LIPd_ROI,145,187,199,0
R_6a_ROI,119,200,143,0
R_i6-8_ROI,107,122,107,0
R_s6-8_ROI,99,93,83,0
R_43_ROI,160,141,69,0
R_OP4_ROI,119,163,49,0
R_OP1_ROI,94,154,36,0
R_OP2-3_ROI,137,130,53,0
R_52_ROI,198,69,61,0
R_RI_ROI,167,86,44,0
R_PFcm_ROI,181,153,90,0
R_PoI2_ROI,126,126,86,0
R_TA2_ROI,137,43,34,0
R_FOP4_ROI,204,158,148,0
R_MI_ROI,169,130,118,0
R_Pir_ROI,52,65,75,0
R_AVI_ROI,155,81,96,0
R_AAIC_ROI,78,42,53,0
R_FOP1_ROI,161,141,91,0
R_FOP3_ROI,186,146,113,0
R_FOP2_ROI,97,163,54,0
R_PFt_ROI,104,209,117,0
R_AIP_ROI,132,228,172,0
R_EC_ROI,44,51,38,0
R_PreS_ROI,83,62,90,0
R_H_ROI,59,61,44,0
R_ProS_ROI,85,73,178,0
R_PeEc_ROI,52,63,51,0
R_STGa_ROI,51,50,31,0
R_PBelt_ROI,192,29,10,0
R_A5_ROI,110,39,3,0
R_PHA1_ROI,60,62,78,0
R_PHA3_ROI,76,106,114,0
R_STSda_ROI,70,56,40,0
R_STSdp_ROI,93,58,48,0
R_STSvp_ROI,89,49,61,0
R_TGd_ROI,31,38,28,0
R_TE1a_ROI,7,12,0,0
R_TE1p_ROI,105,109,104,0
R_TE2a_ROI,65,63,59,0
R_TF_ROI,59,81,64,0
R_TE2p_ROI,95,134,120,0
R_PHT_ROI,194,250,212,0
R_PH_ROI,70,144,166,0
R_TPOJ1_ROI,126,100,82,0
R_TPOJ2_ROI,138,176,143,0
R_TPOJ3_ROI,97,155,140,0
R_DVT_ROI,125,137,203,0
R_PGp_ROI,144,214,221,0
R_IP2_ROI,185,181,181,0
R_IP1_ROI,124,123,129,0
R_IP0_ROI,107,179,215,0
R_PFop_ROI,170,201,136,0
R_PF_ROI,255,255,221,0
R_PFm_ROI,160,124,134,0
R_PGi_ROI,54,62,49,0
R_PGs_ROI,89,79,76,0
R_V6A_ROI,50,100,170,0
R_VMV1_ROI,51,76,166,0
R_VMV3_ROI,42,69,171,0
R_PHA2_ROI,74,102,97,0
R_V4t_ROI,13,105,128,0
R_FST_ROI,73,164,149,0
R_V3CD_ROI,22,73,204,0
R_LO3_ROI,56,109,170,0
R_VMV2_ROI,59,76,173,0
R_31pd_ROI,78,27,60,0
R_31a_ROI,141,107,134,0
R_VVC_ROI,53,80,135,0
R_25_ROI,26,19,12,0
R_s32_ROI,27,19,9,0
R_pOFC_ROI,77,53,61,0
R_PoI1_ROI,166,107,103,0
R_Ig_ROI,108,130,41,0
R_FOP5_ROI,184,106,119,0
R_p10p_ROI,92,70,83,0
R_p47r_ROI,149,122,122,0
R_TGv_ROI,56,65,54,0
R_MBelt_ROI,188,17,26,0
R_LBelt_ROI,216,24,28,0
R_A4_ROI,150,40,8,0
R_STSva_ROI,49,40,35,0
R_TE1m_ROI,82,54,59,0
R_PI_ROI,129,59,62,0
R_a32pr_ROI,152,81,109,0
R_p24_ROI,122,44,81,0
